"participant_id","NQs","age","gender","academic_study","computer_mouse","recruitment","order","q_id","qtext","creature","dataset","scale","year","population_est","n_ests","showed_work","showed_work_n","calculation","scratchpad","true_value","closest_pt_value","deviation","abs_deviation","closest_pt_deviation","closest_pt_abs_deviation","yearest_true"
"0105fdd1615f6dddc116dc6e636aaabb",12,"19-25","Female","Graduate Degree","Yes","Prolific",7,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset1","linear",40,17500,10,1,4,"17500/1000=17.5","",15846.3542774355,17046.9353182483,1653.64572256447,1653.64572256447,453.064681751654,453.064681751654,40.8296706431247
"0105fdd1615f6dddc116dc6e636aaabb",12,"19-25","Female","Graduate Degree","Yes","Prolific",13,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset2","log2",40,26000,10,1,4,"26000-1300=24700","",15846.3542774355,24186.3409381717,10153.6457225645,10153.6457225645,1813.65906182829,1813.65906182829,44.1366036511536
"0105fdd1615f6dddc116dc6e636aaabb",12,"19-25","Female","Graduate Degree","Yes","Prolific",14,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset2","log2",40,26000,10,1,4,"26000/1300=20","",15846.3542774355,24186.3409381717,10153.6457225645,10153.6457225645,1813.65906182829,1813.65906182829,44.1366036511536
"0148e4dc77c5c94b4e243ade4ca2f5ee",12,"19-25","Male","High School or Less","Yes","Prolific",7,"QE1","What is the population of Tribbles in stardate 4510?","tribble","dataset1","linear",10,100,10,0,4,"","",481.615199955751,445.483263348099,-381.615199955751,381.615199955751,-345.483263348099,345.483263348099,
"0148e4dc77c5c94b4e243ade4ca2f5ee",12,"19-25","Male","High School or Less","Yes","Prolific",13,"QE1","What is the population of Ewoks in 10 ABY?","ewok","dataset2","log2",10,480,10,0,4,"","",481.615199955751,466.896435535875,-1.61519995575117,1.61519995575117,13.1035644641249,13.1035644641249,9.9687563186003
"0148e4dc77c5c94b4e243ade4ca2f5ee",12,"19-25","Male","High School or Less","Yes","Prolific",3,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset1","linear",20,2000,10,1,4,"17500-5000=12500; 17500-2000=15500","4500 - ~2000


4540 - ~17500





17500 - 2000 = 15500",1483.01292948341,1529.18465525926,516.987070516592,516.987070516592,470.815344740745,470.815344740745,22.5670850091851
"0148e4dc77c5c94b4e243ade4ca2f5ee",12,"19-25","Male","High School or Less","Yes","Prolific",4,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset1","linear",20,2000,10,1,4,"17500/2000=8.75","4540 - ~17500


4520 - ~2000





17500/2000 = 8.75",1483.01292948341,1529.18465525926,516.987070516592,516.987070516592,470.815344740745,470.815344740745,22.5670850091851
"0148e4dc77c5c94b4e243ade4ca2f5ee",12,"19-25","Male","High School or Less","Yes","Prolific",11,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset2","log2",20,676,10,1,4,"2048*0.33=675.84; 32768 * 0.66=21626.88; 32768*0.66=21626.88; 21627 - 676=20951","2048 * 0.33 ~ 676


32768 * 0.66 ~ 21627





21627 - 676 = 20951",1483.01292948341,1288.91416761239,-807.012929483408,807.012929483408,-612.914167612388,612.914167612388,13.0984660053709
"0148e4dc77c5c94b4e243ade4ca2f5ee",12,"19-25","Male","High School or Less","Yes","Prolific",14,"QI2","How many times more Ewoks are there in 40 ABY than in 20 ABY?","ewok","dataset2","log2",20,6946,10,1,4,"32768 * 0.66 =21626.88; 21048 * 0.33=6945.84; 21627 / 6946=3.11","32768 * 0.66 ~ 21627


2048 * 0.33 ~ 6946





21627 / 6946 ~ 3.1",1483.01292948341,1288.91416761239,5462.98707051659,5462.98707051659,5657.08583238761,5657.08583238761,33.0930196823997
"0148e4dc77c5c94b4e243ade4ca2f5ee",12,"19-25","Male","High School or Less","Yes","Prolific",3,"QI1","From 4520 to 4540, the population increases by ____ Tribbles.","tribble","dataset1","linear",40,17500,10,1,4,"17500-5000=12500; 17500-2000=15500","4500 - ~2000


4540 - ~17500





17500 - 2000 = 15500",15846.3542774355,17046.9353182483,1653.64572256447,1653.64572256447,453.064681751654,453.064681751654,40.8296706431247
"0148e4dc77c5c94b4e243ade4ca2f5ee",12,"19-25","Male","High School or Less","Yes","Prolific",4,"QI2","How many times more Tribbles are there in 4540 than in 4520?","tribble","dataset1","linear",40,17500,10,1,4,"17500/2000=8.75","4540 - ~17500


4520 - ~2000





17500/2000 = 8.75",15846.3542774355,17046.9353182483,1653.64572256447,1653.64572256447,453.064681751654,453.064681751654,40.8296706431247
"0148e4dc77c5c94b4e243ade4ca2f5ee",12,"19-25","Male","High School or Less","Yes","Prolific",11,"QI1","From 20 ABY to 40 ABY, the population increases by ____ Ewoks.","ewok","dataset2","log2",40,21627,10,1,4,"2048*0.33=675.84; 32768 * 0.66=21626.88; 32768*0.66=21626.88; 21627 - 676=20951","2048 * 0.33 ~ 676


32768 * 0.66 ~ 21627





21627 - 676 = 20951",15846.3542774355,24186.3409381717,5780.64572256447,5780.64572256447,-2559.34093817171,2559.34093817171,42.5987396756982
