"contrast","curvature","odds.ratio","SE","df","asymp.LCL","asymp.UCL","null","z.ratio","p.value"
"log / linear","t-E_n-H",0.712879891826904,0.211872507254153,Inf,0.39813812743907,1.2764357521848,1,-1.13874486542246,0.254809583889559
"log / linear","t-E_n-M",13.1047748978769,3.30885246022985,Inf,7.98928435867582,21.4956831443273,1,10.1903243948308,2.19032106152499e-24
"log / linear","t-H_n-E",4.07163229886594,0.857677905400472,Inf,2.69442026995038,6.15278535500093,1,6.66538191412396,2.63977986966386e-11
"log / linear","t-H_n-M",6.3231072133245,1.33317620045931,Inf,4.18274664757625,9.55871540877672,1,8.74688746878509,2.19318219161692e-18
"log / linear","t-M_n-E",48.8774384254302,16.1815914253533,Inf,25.5449882400385,93.5214361652069,1,11.7479050001384,7.23913595833754e-32
"log / linear","t-M_n-H",0.206717594605658,0.0424819575158315,Inf,0.138181334564996,0.309247005422786,1,-7.67078509245077,1.70946757680832e-14
